,location,age_lt18_pt,age_18-65_pt,age_gt65_pt,age_avg,single_pt,maried_pt,widow_pt,divorced_pt,belgian_pt,alien_pt,residential_pt,industry_pt,exploitation_pt,commercial_pt,public_pt,mixte_pt,transport_pt,infra_pt,leasure_pt,salaried_pt,working_outside_pt,superior_degree_pt,independant_pt,idleness_pt,pop_density,family_size,owner_renter_pt,avg_wage,province,postal_code
707,mons,0.2010922075194287,0.6247427011132115,0.1741650913673598,40.835958832178115,0.5271266540642722,0.2951480781348456,0.0657739970594413,0.11195127074144087,0.8455261499684941,0.154473850031506,0.3910312140463866,0.0950571009411845,0.026077532150746964,0.029193128718199117,0.05123389976077742,0.008720617765294774,0.3116327175504245,0.00713553792190366,0.07991825114508258,0.8777000000000031,0.23530000000000084,0.283500000000001,0.11260000000000041,0.1712000000000006,632.7800000000022,2.050000000000007,0.565300000000002,15678.06135019602,WAL,7021
708,mons,0.2010922075194287,0.6247427011132115,0.1741650913673598,40.835958832178115,0.5271266540642722,0.2951480781348456,0.0657739970594413,0.11195127074144087,0.8455261499684941,0.154473850031506,0.3910312140463866,0.0950571009411845,0.026077532150746964,0.029193128718199117,0.05123389976077742,0.008720617765294774,0.3116327175504245,0.00713553792190366,0.07991825114508258,0.8777000000000031,0.23530000000000084,0.283500000000001,0.11260000000000041,0.1712000000000006,632.7800000000022,2.050000000000007,0.565300000000002,15678.06135019602,WAL,7022
709,mons,0.2010922075194287,0.6247427011132115,0.1741650913673598,40.835958832178115,0.5271266540642722,0.2951480781348456,0.0657739970594413,0.11195127074144087,0.8455261499684941,0.154473850031506,0.3910312140463866,0.0950571009411845,0.026077532150746964,0.029193128718199117,0.05123389976077742,0.008720617765294774,0.3116327175504245,0.00713553792190366,0.07991825114508258,0.8777000000000031,0.23530000000000084,0.283500000000001,0.11260000000000041,0.1712000000000006,632.7800000000022,2.050000000000007,0.565300000000002,15678.06135019602,WAL,7024
710,mons,0.2010922075194287,0.6247427011132115,0.1741650913673598,40.835958832178115,0.5271266540642722,0.2951480781348456,0.0657739970594413,0.11195127074144087,0.8455261499684941,0.154473850031506,0.3910312140463866,0.0950571009411845,0.026077532150746964,0.029193128718199117,0.05123389976077742,0.008720617765294774,0.3116327175504245,0.00713553792190366,0.07991825114508258,0.8777000000000031,0.23530000000000084,0.283500000000001,0.11260000000000041,0.1712000000000006,632.7800000000022,2.050000000000007,0.565300000000002,15678.06135019602,WAL,7030
711,mons,0.2010922075194287,0.6247427011132115,0.1741650913673598,40.835958832178115,0.5271266540642722,0.2951480781348456,0.0657739970594413,0.11195127074144087,0.8455261499684941,0.154473850031506,0.3910312140463866,0.0950571009411845,0.026077532150746964,0.029193128718199117,0.05123389976077742,0.008720617765294774,0.3116327175504245,0.00713553792190366,0.07991825114508258,0.8777000000000031,0.23530000000000084,0.283500000000001,0.11260000000000041,0.1712000000000006,632.7800000000022,2.050000000000007,0.565300000000002,15678.06135019602,WAL,7031
712,mons,0.2010922075194287,0.6247427011132115,0.1741650913673598,40.835958832178115,0.5271266540642722,0.2951480781348456,0.0657739970594413,0.11195127074144087,0.8455261499684941,0.154473850031506,0.3910312140463866,0.0950571009411845,0.026077532150746964,0.029193128718199117,0.05123389976077742,0.008720617765294774,0.3116327175504245,0.00713553792190366,0.07991825114508258,0.8777000000000031,0.23530000000000084,0.283500000000001,0.11260000000000041,0.1712000000000006,632.7800000000022,2.050000000000007,0.565300000000002,15678.06135019602,WAL,7032
713,mons,0.2010922075194287,0.6247427011132115,0.1741650913673598,40.835958832178115,0.5271266540642722,0.2951480781348456,0.0657739970594413,0.11195127074144087,0.8455261499684941,0.154473850031506,0.3910312140463866,0.0950571009411845,0.026077532150746964,0.029193128718199117,0.05123389976077742,0.008720617765294774,0.3116327175504245,0.00713553792190366,0.07991825114508258,0.8777000000000031,0.23530000000000084,0.283500000000001,0.11260000000000041,0.1712000000000006,632.7800000000022,2.050000000000007,0.565300000000002,15678.06135019602,WAL,7033
714,mons,0.2010922075194287,0.6247427011132115,0.1741650913673598,40.835958832178115,0.5271266540642722,0.2951480781348456,0.0657739970594413,0.11195127074144087,0.8455261499684941,0.154473850031506,0.3910312140463866,0.0950571009411845,0.026077532150746964,0.029193128718199117,0.05123389976077742,0.008720617765294774,0.3116327175504245,0.00713553792190366,0.07991825114508258,0.8777000000000031,0.23530000000000084,0.283500000000001,0.11260000000000041,0.1712000000000006,632.7800000000022,2.050000000000007,0.565300000000002,15678.06135019602,WAL,7034
715,mons,0.2010922075194287,0.6247427011132115,0.1741650913673598,40.835958832178115,0.5271266540642722,0.2951480781348456,0.0657739970594413,0.11195127074144087,0.8455261499684941,0.154473850031506,0.3910312140463866,0.0950571009411845,0.026077532150746964,0.029193128718199117,0.05123389976077742,0.008720617765294774,0.3116327175504245,0.00713553792190366,0.07991825114508258,0.8777000000000031,0.23530000000000084,0.283500000000001,0.11260000000000041,0.1712000000000006,632.7800000000022,2.050000000000007,0.565300000000002,15678.06135019602,WAL,7040
716,quaregnon,0.21054566461845492,0.6172995115802742,0.17215482380127095,40.87167165590043,0.49845071162228877,0.32734625282285595,0.07284281287747492,0.10136022267738039,0.8465941914815398,0.15340580851846017,0.4722561421034026,0.04860242412819092,0.0,0.03840669006840888,0.03089430540872754,0.006274656174024749,0.3139700451696373,0.02960301240631838,0.05999272454128979,0.9045000000000032,0.21190000000000075,0.15830000000000055,0.08590000000000031,0.21190000000000075,1713.9800000000062,2.310000000000008,0.6751000000000025,13338.271770407722,WAL,7390
717,quaregnon,0.21054566461845492,0.6172995115802742,0.17215482380127095,40.87167165590043,0.49845071162228877,0.32734625282285595,0.07284281287747492,0.10136022267738039,0.8465941914815398,0.15340580851846017,0.4722561421034026,0.04860242412819092,0.0,0.03840669006840888,0.03089430540872754,0.006274656174024749,0.3139700451696373,0.02960301240631838,0.05999272454128979,0.9045000000000032,0.21190000000000075,0.15830000000000055,0.08590000000000031,0.21190000000000075,1713.9800000000062,2.310000000000008,0.6751000000000025,13338.271770407722,WAL,7500
